Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,"22,555,615","18,468,856","10,125,067","12,282,856","147,692","6,614,976","7,322,118","2,638,492","1,893,270",84,34,4.7,1,55,"906,443","412,112","344,165","313,512","75,741","78,316","83,634","93,756","102,936","634,432","944,685","1,170,475","1,064,426","931,673","903,024","1,163,391","1,462,314","1,691,945","1,764,592","1,913,594","2,276,417","1,803,549","1,322,476","809,545","8,661,338","48,360,197","2,430,157","220,081","648,436"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y56,LONDON COMMISSIONING REGION,,,,,,"3,369,800","2,777,405","1,511,600","1,848,260","9,940","813,520","1,294,345","308,135","361,405",66,28,5,1,50,"170,925","77,350","70,285","66,420","15,470","15,925","16,510","14,705","15,315","103,160","166,690","210,385","200,465","168,535","161,715","185,095","222,860","247,240","240,360","229,890","242,220","192,750","150,740","101,185","1,364,010","7,351,270","268,255","33,175","122,680"
Y58,SOUTH WEST COMMISSIONING REGION,,,,,,"2,385,115","1,948,185","1,031,785","1,226,430","126,900","735,855","800,565","251,135","160,635",126,42,4.4,1,58,"76,355","39,420","29,975","28,180","6,890","7,230","7,580","9,375","10,240","59,700","83,745","109,260","101,040","88,995","87,370","116,885","153,040","180,310","193,935","217,010","274,595","217,930","156,100","96,635","928,455","4,669,985","278,295","23,735","57,755"
Y59,SOUTH EAST COMMISSIONING REGION,,,,,,"3,193,025","2,594,260","1,448,605","1,737,070","7,355","989,225","1,006,750","352,050","246,235",82,36,5.6,1,56,"143,475","52,225","42,755","38,390","9,265","9,970","11,550","13,295","13,720","82,115","120,835","161,355","148,625","130,045","124,540","159,985","200,525","231,280","244,530","268,910","344,945","278,870","211,105","136,365","1,187,185","9,169,715","401,030","25,630","58,790"
Y60,MIDLANDS COMMISSIONING REGION,,,,,,"4,458,065","3,662,395","1,990,185","2,465,595","2,285","1,403,215","1,277,235","585,755","396,190",81,33,4.2,1,56,"166,395","76,710","61,505","57,190","13,670","14,410","15,335","19,050","22,235","135,215","198,865","230,370","202,320","180,515","175,615","232,465","293,165","335,285","347,520","386,635","457,310","370,205","265,715","158,710","1,608,480","8,879,685","560,325","51,855","149,520"
Y61,EAST OF ENGLAND COMMISSIONING REGION,,,,,,"2,460,895","1,967,125","1,123,740","1,336,665",490,"710,715","753,565","317,935","184,910",88,36,4.5,1,57,"102,175","39,295","31,190","27,885","7,060","7,325","8,110","8,885","9,655","59,285","91,170","114,575","105,145","94,350","94,445","123,290","154,725","180,995","191,860","220,265","278,495","221,205","165,665","104,825","946,510","4,708,587","234,560","22,790","50,625"
Y62,NORTH WEST COMMISSIONING REGION,,,,,,"3,016,805","2,480,535","1,364,225","1,652,305",280,"888,975","1,013,510","316,705","261,350",79,30,4.6,1,54,"116,775","60,485","51,265","45,185","10,865","11,070","11,525","12,915","14,075","88,075","132,195","162,870","143,830","121,690","116,455","153,555","193,675","226,195","235,435","252,250","291,355","231,135","164,665","91,425","1,152,675","6,297,132","326,835","30,860","103,770"
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,,,,,,"3,671,825","3,038,855","1,654,895","2,016,480",450,"1,073,475","1,176,060","506,780","282,545",77,34,4.4,1,56,"130,340","66,625","57,195","50,260","12,520","12,380","13,025","15,530","17,690","106,875","151,185","181,660","163,000","147,545","142,875","192,110","244,310","290,630","310,940","338,615","387,480","291,455","208,475","120,400","1,474,005","7,283,716","360,855","32,035","105,295"
