UID,Code,Category,Measure,Measure_Value
1,V01,CAUSE_3,FCE_SUM,338
2,V01,CAUSE_3,FAE_SUM,335
3,V01,CAUSE_3,FCE_Male_Sum,178
4,V01,CAUSE_3,FCE_Female_Sum,157
5,V01,CAUSE_3,FCE_UNKNOWN_GENDER_Sum,3
6,V01,CAUSE_3,FAE_EMERGENCY_Sum,278
7,V01,CAUSE_3,FAE_WAITLIST_Sum,42
8,V01,CAUSE_3,FAE_PLANNED_Sum,10
9,V01,CAUSE_3,FAE_OTHER_Sum,5
10,V01,CAUSE_3,ELECDUR_CALC_MEAN,5.88
11,V01,CAUSE_3,ELECDUR_CALC_Median,2
12,V01,CAUSE_3,SPELDUR_CALC_MEAN,3.344827
13,V01,CAUSE_3,SPELDUR_CALC_Median,1
14,V01,CAUSE_3,STARTAGE_CALC_MEAN,49.062686
15,V01,CAUSE_3,Age_0_Sum,0
16,V01,CAUSE_3,Age_1_4_Sum,19
17,V01,CAUSE_3,Age_5_9_Sum,26
18,V01,CAUSE_3,Age_10_14_Sum,17
19,V01,CAUSE_3,Age_15_Sum,1
20,V01,CAUSE_3,Age_16_Sum,1
21,V01,CAUSE_3,Age_17_Sum,1
22,V01,CAUSE_3,Age_18_Sum,0
23,V01,CAUSE_3,Age_19_Sum,1
24,V01,CAUSE_3,Age_20_24_Sum,12
25,V01,CAUSE_3,Age_25_29_Sum,16
26,V01,CAUSE_3,Age_30_34_Sum,13
27,V01,CAUSE_3,Age_35_39_Sum,14
28,V01,CAUSE_3,Age_40_44_Sum,11
29,V01,CAUSE_3,Age_45_49_Sum,18
30,V01,CAUSE_3,Age_50_54_Sum,16
31,V01,CAUSE_3,Age_55_59_Sum,19
32,V01,CAUSE_3,Age_60_64_Sum,22
33,V01,CAUSE_3,Age_65_69_Sum,24
34,V01,CAUSE_3,Age_70_74_Sum,32
35,V01,CAUSE_3,Age_75_79_Sum,32
36,V01,CAUSE_3,Age_80_84_Sum,28
37,V01,CAUSE_3,Age_85_89_Sum,8
38,V01,CAUSE_3,Age_90_120_Sum,4
39,V01,CAUSE_3,FCE_DAY_CASES,36
40,V01,CAUSE_3,FCE_BED_DAYS,914
41,V01,CAUSE_3,SES_EMERGENCY_NDC_ZEPIDUR,91
42,V01,CAUSE_3,SES_ELECTIVE_NDC_ZEPIDUR,7
43,V01,CAUSE_3,SES_OTHER_NDC_ZEPIDUR,1
44,V02,CAUSE_3,FCE_SUM,380
45,V02,CAUSE_3,FAE_SUM,377
46,V02,CAUSE_3,FCE_Male_Sum,215
47,V02,CAUSE_3,FCE_Female_Sum,160
48,V02,CAUSE_3,FCE_UNKNOWN_GENDER_Sum,5
49,V02,CAUSE_3,FAE_EMERGENCY_Sum,336
50,V02,CAUSE_3,FAE_WAITLIST_Sum,29
51,V02,CAUSE_3,FAE_PLANNED_Sum,11
52,V02,CAUSE_3,FAE_OTHER_Sum,1
53,V02,CAUSE_3,ELECDUR_CALC_MEAN,3.444444
54,V02,CAUSE_3,ELECDUR_CALC_Median,2
55,V02,CAUSE_3,SPELDUR_CALC_MEAN,5.98909
56,V02,CAUSE_3,SPELDUR_CALC_Median,2
57,V02,CAUSE_3,STARTAGE_CALC_MEAN,43.413793
58,V02,CAUSE_3,Age_0_Sum,0
59,V02,CAUSE_3,Age_1_4_Sum,10
60,V02,CAUSE_3,Age_5_9_Sum,20
61,V02,CAUSE_3,Age_10_14_Sum,27
62,V02,CAUSE_3,Age_15_Sum,5
63,V02,CAUSE_3,Age_16_Sum,6
64,V02,CAUSE_3,Age_17_Sum,7
65,V02,CAUSE_3,Age_18_Sum,7
66,V02,CAUSE_3,Age_19_Sum,0
67,V02,CAUSE_3,Age_20_24_Sum,31
68,V02,CAUSE_3,Age_25_29_Sum,17
69,V02,CAUSE_3,Age_30_34_Sum,30
70,V02,CAUSE_3,Age_35_39_Sum,12
71,V02,CAUSE_3,Age_40_44_Sum,16
72,V02,CAUSE_3,Age_45_49_Sum,17
73,V02,CAUSE_3,Age_50_54_Sum,31
74,V02,CAUSE_3,Age_55_59_Sum,26
75,V02,CAUSE_3,Age_60_64_Sum,25
76,V02,CAUSE_3,Age_65_69_Sum,21
77,V02,CAUSE_3,Age_70_74_Sum,17
78,V02,CAUSE_3,Age_75_79_Sum,26
79,V02,CAUSE_3,Age_80_84_Sum,20
80,V02,CAUSE_3,Age_85_89_Sum,3
81,V02,CAUSE_3,Age_90_120_Sum,3
82,V02,CAUSE_3,FCE_DAY_CASES,21
83,V02,CAUSE_3,FCE_BED_DAYS,1836
84,V02,CAUSE_3,SES_EMERGENCY_NDC_ZEPIDUR,74
85,V02,CAUSE_3,SES_ELECTIVE_NDC_ZEPIDUR,3
86,V02,CAUSE_3,SES_OTHER_NDC_ZEPIDUR,0
87,V03,CAUSE_3,FCE_SUM,4799
88,V03,CAUSE_3,FAE_SUM,4734
89,V03,CAUSE_3,FCE_Male_Sum,2807
90,V03,CAUSE_3,FCE_Female_Sum,1969
91,V03,CAUSE_3,FCE_UNKNOWN_GENDER_Sum,23
92,V03,CAUSE_3,FAE_EMERGENCY_Sum,4408
93,V03,CAUSE_3,FAE_WAITLIST_Sum,236
94,V03,CAUSE_3,FAE_PLANNED_Sum,54
95,V03,CAUSE_3,FAE_OTHER_Sum,36
96,V03,CAUSE_3,ELECDUR_CALC_MEAN,13.177777
97,V03,CAUSE_3,ELECDUR_CALC_Median,2
98,V03,CAUSE_3,SPELDUR_CALC_MEAN,6.032585
99,V03,CAUSE_3,SPELDUR_CALC_Median,2
100,V03,CAUSE_3,STARTAGE_CALC_MEAN,44.541968
101,V03,CAUSE_3,Age_0_Sum,1
102,V03,CAUSE_3,Age_1_4_Sum,124
103,V03,CAUSE_3,Age_5_9_Sum,246
104,V03,CAUSE_3,Age_10_14_Sum,425
105,V03,CAUSE_3,Age_15_Sum,85
106,V03,CAUSE_3,Age_16_Sum,74
107,V03,CAUSE_3,Age_17_Sum,55
108,V03,CAUSE_3,Age_18_Sum,77
109,V03,CAUSE_3,Age_19_Sum,66
110,V03,CAUSE_3,Age_20_24_Sum,234
111,V03,CAUSE_3,Age_25_29_Sum,255
112,V03,CAUSE_3,Age_30_34_Sum,260
113,V03,CAUSE_3,Age_35_39_Sum,266
114,V03,CAUSE_3,Age_40_44_Sum,274
115,V03,CAUSE_3,Age_45_49_Sum,221
116,V03,CAUSE_3,Age_50_54_Sum,235
117,V03,CAUSE_3,Age_55_59_Sum,252
118,V03,CAUSE_3,Age_60_64_Sum,264
119,V03,CAUSE_3,Age_65_69_Sum,254
120,V03,CAUSE_3,Age_70_74_Sum,276
121,V03,CAUSE_3,Age_75_79_Sum,304
122,V03,CAUSE_3,Age_80_84_Sum,272
123,V03,CAUSE_3,Age_85_89_Sum,153
124,V03,CAUSE_3,Age_90_120_Sum,83
125,V03,CAUSE_3,FCE_DAY_CASES,182
126,V03,CAUSE_3,FCE_BED_DAYS,24839
127,V03,CAUSE_3,SES_EMERGENCY_NDC_ZEPIDUR,778
128,V03,CAUSE_3,SES_ELECTIVE_NDC_ZEPIDUR,28
129,V03,CAUSE_3,SES_OTHER_NDC_ZEPIDUR,9
130,V04,CAUSE_3,FCE_SUM,330
131,V04,CAUSE_3,FAE_SUM,327
132,V04,CAUSE_3,FCE_Male_Sum,219
133,V04,CAUSE_3,FCE_Female_Sum,107
134,V04,CAUSE_3,FCE_UNKNOWN_GENDER_Sum,4
135,V04,CAUSE_3,FAE_EMERGENCY_Sum,310
136,V04,CAUSE_3,FAE_WAITLIST_Sum,8
137,V04,CAUSE_3,FAE_PLANNED_Sum,2
138,V04,CAUSE_3,FAE_OTHER_Sum,7
139,V04,CAUSE_3,ELECDUR_CALC_MEAN,25
140,V04,CAUSE_3,ELECDUR_CALC_Median,2
141,V04,CAUSE_3,SPELDUR_CALC_MEAN,8.355555
142,V04,CAUSE_3,SPELDUR_CALC_Median,3
143,V04,CAUSE_3,STARTAGE_CALC_MEAN,47.844512
144,V04,CAUSE_3,Age_0_Sum,0
145,V04,CAUSE_3,Age_1_4_Sum,5
146,V04,CAUSE_3,Age_5_9_Sum,5
147,V04,CAUSE_3,Age_10_14_Sum,20
148,V04,CAUSE_3,Age_15_Sum,6
149,V04,CAUSE_3,Age_16_Sum,3
150,V04,CAUSE_3,Age_17_Sum,2
151,V04,CAUSE_3,Age_18_Sum,3
152,V04,CAUSE_3,Age_19_Sum,2
153,V04,CAUSE_3,Age_20_24_Sum,24
154,V04,CAUSE_3,Age_25_29_Sum,17
155,V04,CAUSE_3,Age_30_34_Sum,17
156,V04,CAUSE_3,Age_35_39_Sum,17
157,V04,CAUSE_3,Age_40_44_Sum,23
158,V04,CAUSE_3,Age_45_49_Sum,26
159,V04,CAUSE_3,Age_50_54_Sum,25
160,V04,CAUSE_3,Age_55_59_Sum,31
161,V04,CAUSE_3,Age_60_64_Sum,20
162,V04,CAUSE_3,Age_65_69_Sum,14
163,V04,CAUSE_3,Age_70_74_Sum,14
164,V04,CAUSE_3,Age_75_79_Sum,17
165,V04,CAUSE_3,Age_80_84_Sum,15
166,V04,CAUSE_3,Age_85_89_Sum,14
167,V04,CAUSE_3,Age_90_120_Sum,8
168,V04,CAUSE_3,FCE_DAY_CASES,5
169,V04,CAUSE_3,FCE_BED_DAYS,2309
170,V04,CAUSE_3,SES_EMERGENCY_NDC_ZEPIDUR,46
171,V04,CAUSE_3,SES_ELECTIVE_NDC_ZEPIDUR,1
172,V04,CAUSE_3,SES_OTHER_NDC_ZEPIDUR,0
173,V05,CAUSE_3,FCE_SUM,43
174,V05,CAUSE_3,FAE_SUM,42
175,V05,CAUSE_3,FCE_Male_Sum,30
176,V05,CAUSE_3,FCE_Female_Sum,13
177,V05,CAUSE_3,FCE_UNKNOWN_GENDER_Sum,0
178,V05,CAUSE_3,FAE_EMERGENCY_Sum,39
179,V05,CAUSE_3,FAE_WAITLIST_Sum,2
180,V05,CAUSE_3,FAE_PLANNED_Sum,1
181,V05,CAUSE_3,FAE_OTHER_Sum,0
182,V05,CAUSE_3,SPELDUR_CALC_MEAN,16.454545
183,V05,CAUSE_3,SPELDUR_CALC_Median,2
184,V05,CAUSE_3,STARTAGE_CALC_MEAN,44.560975
185,V05,CAUSE_3,Age_0_Sum,0
186,V05,CAUSE_3,Age_1_4_Sum,1
187,V05,CAUSE_3,Age_5_9_Sum,0
188,V05,CAUSE_3,Age_10_14_Sum,0
189,V05,CAUSE_3,Age_15_Sum,0
190,V05,CAUSE_3,Age_16_Sum,1
191,V05,CAUSE_3,Age_17_Sum,0
192,V05,CAUSE_3,Age_18_Sum,0
193,V05,CAUSE_3,Age_19_Sum,0
194,V05,CAUSE_3,Age_20_24_Sum,3
195,V05,CAUSE_3,Age_25_29_Sum,5
196,V05,CAUSE_3,Age_30_34_Sum,4
197,V05,CAUSE_3,Age_35_39_Sum,3
198,V05,CAUSE_3,Age_40_44_Sum,4
199,V05,CAUSE_3,Age_45_49_Sum,4
200,V05,CAUSE_3,Age_50_54_Sum,6
201,V05,CAUSE_3,Age_55_59_Sum,3
202,V05,CAUSE_3,Age_60_64_Sum,1
203,V05,CAUSE_3,Age_65_69_Sum,1
204,V05,CAUSE_3,Age_70_74_Sum,1
205,V05,CAUSE_3,Age_75_79_Sum,2
206,V05,CAUSE_3,Age_80_84_Sum,2
207,V05,CAUSE_3,Age_85_89_Sum,0
208,V05,CAUSE_3,Age_90_120_Sum,0
209,V05,CAUSE_3,FCE_DAY_CASES,2
